# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jul 27 20:44:35 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,2,1,Radial Velocity,323.21000000000,0.06000000000,-0.05000000000,0,1.1780000000,0.0000000000,0.0000000000,0,12.20000000,,,0,4914.89848585,39.09289406,-39.72855088,0,0.238000,0.007000,-0.007000,0,68.5387,26.7260,-26.7260,0,803.26,,,0,4874.00,,,0,13.760000,2.850000,-2.450000,0,2.090000,0.640000,-0.630000,0,93.18460000,1.92380000,-1.92380000
11 UMi b,1,1,Radial Velocity,516.21997000000,3.20000000000,-3.20000000000,0,1.5300000000,0.0700000000,-0.0700000000,0,12.30000000,,,0,4684.81420000,794.57500000,-794.57500000,0,0.080000,0.030000,-0.030000,0,114.8502,10.7244,-10.7244,0,896.43,48.40,-48.40,0,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,2.780000,0.690000,-0.690000,0,125.32100000,1.97650000,-1.97650000
14 And b,1,1,Radial Velocity,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,13.10000000,,,0,1131.15130051,36.23243840,-38.77506565,0,0.000000,,,0,115.1634,17.4042,-17.4042,0,909.92,,,0,4888.00,,,0,11.550000,1.120000,-0.510000,0,1.780000,0.430000,-0.290000,0,75.43920000,0.71400000,-0.71400000
14 Her b,1,2,Radial Velocity,1766.41000000000,0.67000000000,-0.68000000000,0,2.8390000000,0.0390000000,-0.0410000000,0,12.50000000,,,0,2828.67282230,413.17692910,-540.30829190,0,0.368300,0.002900,-0.002900,0,0.0873,0.0033,-0.0033,0,147.32,1.48,-1.48,0,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,0.970000,0.040000,-0.040000,0,17.93230000,0.00730000,-0.00730000
16 Cyg B b,3,1,Radial Velocity,798.50000000000,1.00000000000,-1.00000000000,0,1.6600000000,0.0300000000,-0.0300000000,0,13.50000000,,,0,565.73740000,25.42640000,-25.42640000,0,0.680000,0.020000,-0.020000,0,0.4540,0.0203,-0.0203,0,228.76,2.32,-2.32,0,5750.00,8.00,-8.00,0,1.130000,0.010000,-0.010000,0,1.080000,0.040000,-0.040000,0,21.13970000,0.01100000,-0.01110000
17 Sco b,1,1,Radial Velocity,578.38000000000,2.01000000000,-2.09000000000,0,1.4500000000,0.0200000000,-0.0200000000,0,12.90000000,,,0,1373.01871824,47.67426105,-38.13940884,0,0.060000,0.030000,-0.020000,0,85.4316,5.4329,-5.4329,0,847.51,13.90,-13.90,0,4157.00,11.00,-10.00,0,25.920000,0.780000,-0.740000,0,1.220000,0.130000,-0.140000,0,124.95300000,2.59000000,-2.59000000
18 Del b,2,1,Radial Velocity,982.85000000000,1.06000000000,-0.92000000000,0,2.4760000000,0.0020000000,-0.0020000000,0,12.50000000,,,0,2926.24614325,50.85254512,-24.47278734,0,0.024000,0.007000,-0.018000,0,7.0173,0.8391,-0.8391,0,452.72,,,0,4980.00,,,0,8.800000,0.610000,-0.400000,0,2.100000,0.130000,-0.090000,0,76.22200000,0.62170000,-0.62170000
1RXS J160929.1-210524 b,1,1,Imaging,,,,,330.0000000000,,,0,18.64700000,,,0,3000.00000000,300.00000000,-300.00000000,0,,,,,0.0000,,,0,1700.00,100.00,-100.00,0,4060.00,300.00,-200.00,0,1.313160,0.176833,-0.102363,0,0.850000,0.200000,-0.100000,0,139.13500000,1.33200000,-1.30700000
24 Boo b,1,1,Radial Velocity,30.33000000000,0.00000000000,-0.01000000000,0,0.1940000000,0.0000000000,0.0000000000,0,13.90000000,,,0,280.64248338,11.44182265,-13.66662150,0,0.032000,0.039000,-0.023000,0,2001.2754,427.0617,-427.0617,0,1840.86,,,0,4816.00,,,0,12.190000,1.450000,-1.280000,0,1.050000,0.270000,-0.180000,0,95.98630000,0.63685000,-0.63685000
24 Sex b,1,2,Radial Velocity,452.80000000000,2.10000000000,-4.50000000000,0,1.3330000000,0.0040000000,-0.0090000000,0,13.40000000,,,0,632.46000000,82.63000000,-120.77000000,0,0.090000,0.140000,-0.060000,0,8.2099,0.0981,-0.0981,0,471.32,5.72,-5.72,0,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,72.06910000,0.68540000,-0.67280000
